t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
35.60000000,4.54029403,1.41067421,-0.34034095,0.66444074,-0.61405117,-0.65685588,0.0511528753,0.0567295385,9.30423323
35.80000000,4.67700855,1.45063981,-0.48283872,0.25363173,0.87573919,-0.64711034,0.0601774128,0.0564457800,8.51413443
36.00000000,4.57730044,1.60703450,-0.56373027,-1.07205746,0.27284866,-0.16200736,0.0591387031,0.0561152015,8.75432055
36.20000000,4.41241056,1.50084219,-0.59409439,-0.15286926,-1.05733704,-0.32965037,0.0514094220,0.0567792365,9.87022840
36.40000000,4.51188218,1.39384497,-0.72443930,0.67284539,0.31849383,-0.83417070,0.0561358970,0.0564090644,9.48150253
36.60000000,4.51034093,1.55509093,-0.83846114,-0.78148398,0.78256100,-0.16395440,0.0601897881,0.0561978010,9.18486773
36.80000000,4.31732309,1.54305826,-0.81948336,-0.61642259,-0.92967323,0.07570244,0.0534833679,0.0562784369,10.34761581
37.00000000,4.36276908,1.37923024,-0.90142392,0.73684379,-0.09207471,-0.83581305,0.0545632049,0.0563735202,10.39733920
37.20000000,4.40146032,1.51638382,-1.02858314,-0.59491417,0.93437893,-0.15170080,0.0596055724,0.0561859718,9.85091297
37.40000000,4.22195023,1.53757839,-0.97537318,-0.62464161,-0.86811815,0.32587378,0.0541383184,0.0561148357,10.96049663
37.60000000,4.27153162,1.37169572,-1.03017722,0.76832346,-0.07227732,-0.80898395,0.0548690699,0.0562243696,10.99608971
37.80000000,4.30568274,1.51836568,-1.13841944,-0.63647634,0.91736174,0.05783845,0.0590030820,0.0561404727,10.40769905
38.00000000,4.14792232,1.51225534,-1.04676040,-0.32208310,-1.00020916,0.38189540,0.0537341148,0.0561345255,11.52785088
38.20000000,4.24502235,1.37776521,-1.10875748,0.76142727,0.29113342,-0.76516000,0.0559494885,0.0560909207,11.14317908
38.40000000,4.24651768,1.55161781,-1.16667233,-0.75803007,0.71260230,0.40937558,0.0583873591,0.0561112784,10.70406042
38.60000000,4.12946410,1.48571115,-1.04775677,0.15035321,-1.07980622,0.24781527,0.0531463905,0.0561560456,11.73468005
38.80000000,4.27417431,1.41481222,-1.12319249,0.64025336,0.70805166,-0.58201242,0.0571544709,0.0560454990,10.85276386
39.00000000,4.23929133,1.59634518,-1.11637089,-0.78830555,0.39432286,0.68781089,0.0577029406,0.0561397961,10.65977647
39.20000000,4.17248682,1.48447884,-0.99045303,0.52766514,-0.97707777,0.12995579,0.0527909879,0.0561168190,11.43887952
39.40000000,4.34381211,1.47118365,-1.05428767,0.55068546,0.91464817,-0.33190997,0.0580396225,0.0560621361,10.29334925
39.60000000,4.29588468,1.64775495,-1.00384365,-0.75505283,0.24635307,0.78689604,0.0575008835,0.0562272873,10.20663657
39.80000000,4.24759520,1.52782004,-0.86840938,0.61325013,-0.90460338,0.23583253,0.0522534591,0.0561127229,10.83239854
40.00000000,4.43559792,1.51917100,-0.89398110,0.68043229,0.87296267,-0.15794951,0.0582347296,0.0560396643,9.66834710
40.20000000,4.41386018,1.70526729,-0.83710576,-0.72157110,0.44883378,0.72655582,0.0587095484,0.0564196665,9.41371464
40.40000000,4.32555787,1.62305477,-0.68437792,0.27119707,-0.94193608,0.53778112,0.0514849853,0.0562393682,10.12695166
40.60000000,4.50261993,1.54972705,-0.64583258,1.00358288,0.49235366,0.02023015,0.0565945547,0.0559251610,9.25245260
40.80000000,4.56573569,1.73461618,-0.60032062,-0.44813364,0.88310228,0.51894758,0.0611850829,0.0566070960,8.57733335
41.00000000,4.42508745,1.76101349,-0.45922313,-0.49812032,-0.66688895,0.74641493,0.0531831113,0.0563854893,9.25448920
41.20000000,4.48676425,1.60733710,-0.34751294,0.99771486,-0.34644563,0.36679758,0.0521318712,0.0561157235,9.23648174
41.40000000,4.65580936,1.69604677,-0.27982699,0.30151783,1.00115282,0.39595456,0.0611039548,0.0563567667,8.21914136
41.60000000,4.57242887,1.85264052,-0.17785136,-0.91813604,0.21815421,0.59952893,0.0592404090,0.0565631980,8.32786105
41.80000000,4.44508186,1.75136447,-0.05660083,0.01704657,-0.95242244,0.58532118,0.0502494825,0.0566926757,9.16968448
42.00000000,4.57896957,1.65236210,0.05823243,0.92477120,0.25077084,0.57611822,0.0551866794,0.0562229597,8.66867450
42.20000000,4.65239826,1.80798636,0.16865688,-0.37112964,0.92967773,0.49795791,0.0624036574,0.0566278112,8.04160883
42.40000000,4.48031051,1.87922181,0.25247497,-0.97434902,-0.40767663,0.36666569,0.0558248562,0.0562760740,8.71954945
42.60000000,4.41944183,1.70998521,0.34237260,0.50045083,-0.79870185,0.60135206,0.0504611049,0.0568600925,9.39681249
42.80000000,4.56128462,1.70791566,0.48465703,0.43081851,0.75252918,0.70575862,0.0588796616,0.0564083643,8.65249468
43.00000000,4.49465645,1.87324629,0.58014286,-0.99699335,0.45926335,0.21232384,0.0601926308,0.0562154672,8.65615246
