t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
30.60000000,4.37064644,1.10751247,1.04387001,0.72145184,0.16419633,0.83818066,0.0557217043,0.0561996211,10.83055988
30.80000000,4.37947184,1.27211498,1.13028378,-0.74322517,0.80744767,-0.21364597,0.0587201604,0.0560938750,10.44465393
31.00000000,4.22934932,1.23058670,1.03665581,-0.15878874,-1.08469877,-0.21957848,0.0532948605,0.0562066354,11.61102330
31.20000000,4.33978176,1.12251126,1.12445312,0.66919964,0.50238185,0.74147442,0.0567008537,0.0560964318,10.99395172
31.40000000,4.31677122,1.30195352,1.15561442,-0.81569863,0.54172096,-0.53960555,0.0578949163,0.0560711837,10.79457438
31.60000000,4.21667225,1.20343414,1.04554994,0.31096347,-1.07250065,-0.05517308,0.0530399054,0.0561706899,11.76373966
31.80000000,4.36454631,1.16584518,1.13860095,0.50883549,0.86343177,0.49555224,0.0577960839,0.0560814660,10.73879513
32.00000000,4.30781383,1.33826334,1.10362770,-0.79215001,0.17806084,-0.76863041,0.0569792303,0.0560957368,10.79758826
32.20000000,4.26550707,1.20045404,0.99534169,0.67250217,-0.89145752,0.05517535,0.0529986800,0.0560926991,11.41818988
32.40000000,4.43268667,1.22245813,1.06909060,0.39914813,1.02053693,0.22177723,0.0586353807,0.0561226851,10.20999987
32.60000000,4.36399493,1.38153652,0.99253527,-0.73526342,0.01619311,-0.84209589,0.0565603133,0.0561755464,10.36671196
32.80000000,4.34464810,1.23793345,0.87520700,0.77209120,-0.80557261,-0.07019937,0.0525827628,0.0560626939,10.80575459
33.00000000,4.52980020,1.26514055,0.91089944,0.52266686,0.98553724,0.07440227,0.0590216181,0.0561253662,9.57643367
33.20000000,4.48195760,1.43704172,0.83086025,-0.74456536,0.22865720,-0.80208373,0.0576293986,0.0563517491,9.56543521
33.40000000,4.42046069,1.32282496,0.68675739,0.48722335,-0.92144457,-0.40441725,0.0514262137,0.0561853821,10.16555078
33.60000000,4.61094242,1.28318244,0.66462416,0.89129811,0.67425703,-0.03106671,0.0578860626,0.0559890317,9.11134938
33.80000000,4.64085302,1.47239373,0.60473302,-0.58063524,0.73681688,-0.60824633,0.0605388952,0.0566172723,8.65829847
34.00000000,4.50568849,1.45830958,0.45750233,-0.30082530,-0.81541250,-0.70328272,0.0519094295,0.0563943269,9.41254716
34.20000000,4.60635506,1.31634281,0.35967884,1.06572795,-0.12597878,-0.31361325,0.0535331940,0.0560175792,9.09388414
34.40000000,4.75516135,1.43723862,0.29304224,0.10123075,1.02792063,-0.42793869,0.0618736515,0.0564974732,8.15718299
34.60000000,4.64414073,1.56969066,0.18386965,-0.92694806,-0.00293715,-0.62510693,0.0575445608,0.0564780830,8.48815540
34.80000000,4.54797441,1.44009129,0.06155349,0.26652545,-0.92002708,-0.57664059,0.0498886949,0.0566781919,9.21087117
35.00000000,4.70423867,1.37730656,-0.05099584,0.84813087,0.46577790,-0.56011156,0.0570444711,0.0562070482,8.49092763
35.20000000,4.74315764,1.54815630,-0.15698312,-0.55552682,0.84609958,-0.47487414,0.0622425345,0.0566334557,8.05096620
35.40000000,4.56028861,1.58356156,-0.23993334,-0.85713713,-0.60138010,-0.39199223,0.0540980902,0.0563903645,8.88892454
35.60000000,4.54029399,1.41067423,-0.34034106,0.66444067,-0.61405125,-0.65685589,0.0511528760,0.0567363225,9.30423339
35.80000000,4.67700851,1.45063981,-0.48283883,0.25363174,0.87573918,-0.64711037,0.0601774134,0.0564456970,8.51413461
36.00000000,4.57730040,1.60703450,-0.56373037,-1.07205748,0.27284867,-0.16200728,0.0591387039,0.0561157524,8.75432074
36.20000000,4.41241052,1.50084219,-0.59409448,-0.15286922,-1.05733706,-0.32965033,0.0514094230,0.0567683851,9.87022863
36.40000000,4.51188215,1.39384497,-0.72443939,0.67284534,0.31849391,-0.83417071,0.0561358984,0.0564118139,9.48150273
36.60000000,4.51034087,1.55509095,-0.83846122,-0.78148408,0.78256094,-0.16395428,0.0601897886,0.0561987119,9.18486800
36.80000000,4.31732303,1.54305824,-0.81948342,-0.61642241,-0.92967336,0.07570245,0.0534833683,0.0562846689,10.34761617
37.00000000,4.36276906,1.37923024,-0.90142400,0.73684378,-0.09207445,-0.83581310,0.0545632069,0.0563746715,10.39733932
37.20000000,4.40146027,1.51638385,-1.02858319,-0.59491438,0.93437884,-0.15170058,0.0596055730,0.0561867011,9.85091322
37.40000000,4.22195018,1.53757837,-0.97537321,-0.62464130,-0.86811840,0.32587372,0.0541383184,0.0561195230,10.96049703
37.60000000,4.27153162,1.37169572,-1.03017728,0.76832345,-0.07227688,-0.80898401,0.0548690722,0.0562259562,10.99608967
37.80000000,4.30568270,1.51836573,-1.13841946,-0.63647660,0.91736155,0.05783878,0.0590030827,0.0561409916,10.40769924
38.00000000,4.14792229,1.51225531,-1.04676039,-0.32208266,-1.00020939,0.38189520,0.0537341149,0.0561397006,11.52785117
38.20000000,4.24502238,1.37776523,-1.10875752,0.76142713,0.29113394,-0.76515996,0.0559494910,0.0560911080,11.14317884
38.40000000,4.24651765,1.55161786,-1.16667231,-0.75803025,0.71260193,0.40937590,0.0583873595,0.0561163246,10.70406055
38.60000000,4.12946411,1.48571112,-1.04775675,0.15035369,-1.07980623,0.24781498,0.0531463910,0.0561618155,11.73468007
38.80000000,4.27417435,1.41481227,-1.12319249,0.64025311,0.70805206,-0.58201223,0.0571544733,0.0560461709,10.85276349
39.00000000,4.23929132,1.59634522,-1.11637084,-0.78830559,0.39432244,0.68781109,0.0577029407,0.0561367712,10.65977648
39.20000000,4.17248686,1.48447883,-0.99045298,0.52766550,-0.97707762,0.12995556,0.0527909889,0.0561225261,11.43887927
39.40000000,4.34381216,1.47118371,-1.05428763,0.55068523,0.91464839,-0.33190976,0.0580396247,0.0560611612,10.29334882
39.60000000,4.29588470,1.64775498,-1.00384357,-0.75505284,0.24635277,0.78689613,0.0575008838,0.0562277977,10.20663642
39.80000000,4.24759525,1.52782005,-0.86840930,0.61325035,-0.90460326,0.23583245,0.0522534599,0.0561133093,10.83239821
40.00000000,4.43559798,1.51917104,-0.89398102,0.68043218,0.87296279,-0.15794937,0.0582347316,0.0560382931,9.66834669
40.20000000,4.41386021,1.70526734,-0.83710565,-0.72157115,0.44883367,0.72655586,0.0587095495,0.0564158840,9.41371435
40.40000000,4.32555791,1.62305480,-0.68437782,0.27119710,-0.94193608,0.53778114,0.0514849858,0.0562399706,10.12695137
40.60000000,4.50261997,1.54972708,-0.64583246,1.00358289,0.49235366,0.02023027,0.0565945558,0.0559250994,9.25245232
40.80000000,4.56573573,1.73461622,-0.60032048,-0.44813363,0.88310230,0.51894757,0.0611850847,0.0566108354,8.57733307
41.00000000,4.42508749,1.76101354,-0.45922300,-0.49812046,-0.66688888,0.74641492,0.0531831128,0.0563816419,9.25448891
41.20000000,4.48676425,1.60733714,-0.34751281,0.99771477,-0.34644578,0.36679771,0.0521318713,0.0561165404,9.23648164
41.40000000,4.65580937,1.69604678,-0.27982683,0.30151795,1.00115277,0.39595461,0.0611039557,0.0563548394,8.21914128
41.60000000,4.57242890,1.85264055,-0.17785121,-0.91813606,0.21815438,0.59952885,0.0592404114,0.0565638406,8.32786086
41.80000000,4.44508185,1.75136452,-0.05660068,0.01704629,-0.95242247,0.58532116,0.0502494839,0.0567019836,9.16968440
42.00000000,4.57896953,1.65236211,0.05823258,0.92477121,0.25077062,0.57611832,0.0551866791,0.0562223644,8.66867466
42.20000000,4.65239824,1.80798636,0.16865705,-0.37112952,0.92967779,0.49795793,0.0624036585,0.0566209129,8.04160891
42.40000000,4.48031050,1.87922184,0.25247513,-0.97434914,-0.40767649,0.36666556,0.0558248585,0.0562739397,8.71954947
42.60000000,4.41944178,1.70998523,0.34237274,0.50045068,-0.79870198,0.60135203,0.0504611059,0.0568537271,9.39681271
42.80000000,4.56128457,1.70791566,0.48465717,0.43081855,0.75252911,0.70575868,0.0588796620,0.0564084818,8.65249496
43.00000000,4.49465639,1.87324629,0.58014301,-0.99699336,0.45926339,0.21232375,0.0601926318,0.0562162887,8.65615271
